,Objective,Time,Ratio
0,-28984730.714172985,50,0.9999999889213625
1,-28984730.714174185,58,0.999999988921404
2,-28984730.714175016,65,0.9999999889214326
3,-28984730.714174185,125,0.999999988921404
4,-28984731.03528431,98,1.0
5,-28984730.714341577,91,0.9999999889271792
6,-17278252.360116314,57,0.5961156699740557
7,-10023669.646676522,63,0.3458258637789081
8,-28984730.714174252,52,0.9999999889214063
9,-28984730.714174062,52,0.9999999889213997
10,-28984730.714176144,44,0.9999999889214716
11,-28984730.71417179,59,0.9999999889213214
12,-28984730.71417487,59,0.9999999889214276
13,-28984730.71417706,59,0.9999999889215032
14,-10329586.897817481,79,0.356380291583277
15,-28984730.71417965,52,0.9999999889215926
16,-28984730.70000056,59,0.9999999884324009
17,-28984730.714173663,37,0.999999988921386
18,-28984730.7141805,74,0.9999999889216218
19,-28410434.693909705,59,0.9801862456244465
20,-28984730.849392716,105,0.9999999935865682
21,-28984730.714174185,59,0.999999988921404
22,-28984730.71419032,66,0.9999999889219606
23,-28984730.7142102,65,0.9999999889226466
24,-28984730.714177415,51,0.9999999889215154
25,-28984730.714176826,73,0.9999999889214951
26,-26647557.709576216,56,0.9193653609252762
27,-28984730.714175135,51,0.9999999889214367
28,-28984730.714174595,58,0.9999999889214182
29,-10023669.63289608,58,0.34582586330347015
30,-28711530.449598238,60,0.9905743273810789
31,-28984730.71417483,52,0.9999999889214263
32,-10023669.632832829,59,0.3458258633012879
33,-10023669.632780727,51,0.34582586329949033
34,-28984730.714174755,51,0.9999999889214236
35,-28984730.7141762,66,0.9999999889214736
36,-28984730.71417234,38,0.9999999889213403
37,-28984730.71417202,51,0.9999999889213294
38,-28984730.714174796,67,0.999999988921425
39,-20742524.403863877,72,0.7156362561589116
40,-28984730.71417019,52,0.9999999889212662
41,-28984730.714169994,66,0.9999999889212594
42,-28984730.71417063,60,0.9999999889212814
43,-22877117.48765881,59,0.7892816897217211
44,-28984730.71417029,58,0.9999999889212695
45,-28984730.713728637,80,0.9999999889060321
46,-28984730.705208395,66,0.999999988612076
47,-25897526.516988482,49,0.8934885918196844
48,-28984730.714176495,103,0.9999999889214837
49,-28618446.765915904,71,0.9873628542930927
50,-25284041.90117618,80,0.872322805769592
51,-28984730.714176428,65,0.9999999889214813
52,-28984730.71417631,58,0.9999999889214772
53,-26620482.179692715,37,0.9184312301289428
54,-28984730.71417713,59,0.9999999889215057
55,-28984730.714171506,51,0.9999999889213116
56,-20844654.849256374,63,0.7191598508842919
57,-28984730.714166645,72,0.9999999889211438
58,-28880887.73565734,89,0.9964173102210072
59,-28984730.7141715,51,0.9999999889213114
60,-28984730.714176614,66,0.9999999889214878
61,-28443174.35114612,113,0.9813157940475994
62,-14602830.571993444,92,0.5038111464348872
63,-10263874.201903276,59,0.35411314286162043
64,-28984730.659169964,79,0.9999999870237075
65,-28984730.714167062,74,0.9999999889211583
66,-28984730.71417334,67,0.9999999889213748
67,-10023669.632805374,51,0.34582586330034065
68,-28314980.1766452,220,0.9768929765874386
69,-28984730.714172512,52,0.9999999889213462
70,-27469437.805248402,59,0.9477209835692013
71,-28937976.19491765,113,0.9983869148100859
72,-28984730.7141768,52,0.9999999889214942
73,-28984730.71420224,74,0.999999988922372
74,-10097133.112128934,110,0.34836042121064625
75,-28984730.71417372,58,0.999999988921388
76,-25998485.259178568,48,0.8969717617020333
77,-28984730.714174185,111,0.999999988921404
78,-10023669.632928487,51,0.3458258633045882
79,-28984730.71417632,51,0.9999999889214777
80,-20607979.390720077,59,0.7109943288979681
81,-16406758.826380933,59,0.5660483378785992
82,-20659693.25358901,60,0.7127785049459011
83,-28532434.79706049,79,0.9843953619002632
84,-12606391.329623453,36,0.4349321480429531
85,-28984730.714165933,42,0.9999999889211193
86,-28076655.46656824,59,0.9686705538992019
87,,654,-0.0
88,-10023669.639592003,128,0.34582586353448563
89,-28984730.714171074,65,0.9999999889212967
90,-27977728.70870222,64,0.9652574893534039
91,-27381519.785119817,107,0.9446877306464276
92,-28984730.714170974,73,0.9999999889212932
93,-28866281.222290825,70,0.9959133720147587
94,-28984730.714171235,72,0.9999999889213022
95,-28984730.698164336,55,0.9999999883690495
96,-28984730.7141732,45,0.9999999889213701
97,-10023669.632777356,49,0.34582586329937404
98,-28984730.714171477,42,0.9999999889213106
99,-10023669.632772867,41,0.34582586329921916
